,Data_Coleta,Estabelecimento,Produto,Marca,Preco,Quantidade,PPK
49,2022-09-12,SUP-1,Leite,Shefa,6.49,1.0,6.49
50,2022-09-12,SUP-1,Açúcar,União,3.99,1.0,3.99
51,2022-09-12,SUP-3,Café,3 Corações,19.49,0.5,38.98
52,2022-09-12,SUP-0,Arroz,Namorado,19.49,5.0,3.898
53,2022-09-12,SUP-4,Açúcar,União,4.19,1.0,4.19
54,2022-09-12,SUP-4,Arroz,Prato Fino,11.9,2.0,5.95
55,2022-09-12,SUP-4,Óleo,Liza,9.49,0.9,10.5444444444444
56,2022-09-12,SUP-3,Arroz,Broto Legal,11.59,2.0,5.795
57,2022-09-12,SUP-2,Manteiga,President,11.8,0.2,59.0
58,2022-09-12,SUP-4,Arroz,Broto Legal,11.6,2.0,5.8
59,2022-09-12,SUP-2,Manteiga,Matilat,9.55,0.2,47.75
60,2022-09-12,SUP-2,Café,3 Corações,19.28,0.5,38.56
61,2022-09-12,SUP-4,Feijão,Oliron,7.99,1.0,7.99
62,2022-09-12,SUP-4,Arroz,Tio João,11.7,2.0,5.85
63,2022-09-12,SUP-2,Óleo,Liza,7.99,0.9,8.87777777777778
64,2022-09-12,SUP-2,Açúcar,Da Barra,3.79,1.0,3.79
65,2022-09-12,SUP-0,Farinha,Dona Benta,7.39,1.0,7.39
66,2022-09-12,SUP-2,Óleo,Vitaliv,7.79,0.9,8.65555555555556
67,2022-09-12,SUP-0,Banana Nanica,,5.98,1.0,5.98
68,2022-09-12,SUP-0,Farinha,Renata,6.98,1.0,6.98
69,2022-09-12,SUP-3,Batata,,4.99,1.0,4.99
70,2022-09-12,SUP-4,Arroz,Tio João,5.98,1.0,5.98
71,2022-09-12,SUP-4,Manteiga,Doriana,9.8,0.5,19.6
72,2022-09-12,SUP-2,Arroz,Camil,19.49,5.0,3.898
73,2022-09-12,SUP-3,Arroz,Tio João,10.99,2.0,5.495
74,2022-09-12,SUP-4,Café,Melita,21.9,0.5,43.8
75,2022-09-12,SUP-1,Farinha,Renata,7.39,1.0,7.39
76,2022-09-12,SUP-1,Leite,Italac,6.49,1.0,6.49
77,2022-09-12,SUP-0,Farinha,Sol,5.58,1.0,5.58
78,2022-09-12,SUP-2,Arroz,Prato Fino,21.99,5.0,4.398
79,2022-09-12,SUP-1,Arroz,Camil,21.99,5.0,4.398
80,2022-09-12,SUP-3,Café,Pilão,25.98,0.5,51.96
81,2022-09-12,SUP-1,Manteiga,Vigor,9.89,0.5,19.78
82,2022-09-12,SUP-0,Óleo,Liza,8.25,0.9,9.16666666666666
83,2022-09-12,SUP-2,Farinha,Buque,4.35,1.0,4.35
84,2022-09-12,SUP-0,Óleo,Soya,7.25,0.9,8.05555555555556
85,2022-09-12,SUP-3,Feijão,Camil,9.89,1.0,9.89
86,2022-09-12,SUP-4,Pão,,13.9,1.0,13.9
87,2022-09-12,SUP-4,Feijão,Joli,9.38,1.0,9.38
88,2022-09-12,SUP-0,Leite,Piracanjuba,6.58,1.0,6.58
89,2022-09-12,SUP-3,Feijão,Saboroso,9.89,1.0,9.89
90,2022-09-12,SUP-0,Café,3 Corações,18.7,0.5,37.4
91,2022-09-12,SUP-2,Feijão,Kicaldo,7.69,1.0,7.69
92,2022-09-12,SUP-1,Manteiga,Claybom,7.29,0.5,14.58
93,2022-09-12,SUP-2,Manteiga,Frimesa,12.0,0.2,60.0
94,2022-09-12,SUP-4,Manteiga,Vigor,10.99,0.5,21.98
95,2022-09-12,SUP-3,Café,Melita,20.98,0.5,41.96
96,2022-09-12,SUP-2,Óleo,Soya,7.85,0.9,8.72222222222222
97,2022-09-12,SUP-1,Manteiga,Tirolez,29.89,0.5,59.78
98,2022-09-12,SUP-0,Café,Pilão,18.69,0.5,37.38
99,2022-09-12,SUP-1,Feijão,Camil,9.98,1.0,9.98
100,2022-09-12,SUP-4,Manteiga,Claybom,7.89,0.5,15.78
101,2022-09-12,SUP-1,Pão,,15.99,1.0,15.99
102,2022-09-12,SUP-2,Café,Melita,19.98,0.5,39.96
103,2022-09-12,SUP-3,Farinha,Dona Benta,6.09,1.0,6.09
104,2022-09-12,SUP-4,Óleo,Soya,8.98,0.9,9.97777777777778
105,2022-09-12,SUP-1,Café,Pilão,22.99,0.5,45.98
106,2022-09-12,SUP-2,Arroz,Inari,32.6,5.0,6.52
107,2022-09-12,SUP-4,Farinha,Celina,5.28,1.0,5.28
108,2022-09-12,SUP-1,Manteiga,Aviação,28.39,0.5,56.78
109,2022-09-12,SUP-2,Feijão,Pantera,8.59,1.0,8.59
110,2022-09-12,SUP-4,Feijão,Gaspar,8.59,1.0,8.59
111,2022-09-12,SUP-3,Café,São,15.99,0.5,31.98
112,2022-09-12,SUP-2,Leite,Piracanjuba,5.35,1.0,5.35
113,2022-09-12,SUP-4,Café,3 Corações,19.96,0.5,39.92
114,2022-09-12,SUP-1,Café,Melita,19.9,0.5,39.8
115,2022-09-12,SUP-1,Café,3 Corações,19.9,0.5,39.8
116,2022-09-12,SUP-3,Banana Prata,,7.99,1.0,7.99
117,2022-09-12,SUP-3,Pão,,16.39,1.0,16.39
118,2022-09-12,SUP-2,Feijão,Caldo Nobre,5.99,1.0,5.99
119,2022-09-12,SUP-1,Açúcar,Caravelas,5.99,1.0,5.99
120,2022-09-12,SUP-1,Açúcar,Nito,5.99,1.0,5.99
121,2022-09-12,SUP-1,Carne Coxão Mole,,53.9,1.0,53.9
122,2022-09-12,SUP-0,Café,Melita,19.9,0.5,39.8
123,2022-09-12,SUP-4,Café,São,14.9,0.5,29.8
124,2022-09-12,SUP-1,Farinha,Dona Benta,5.99,1.0,5.99
125,2022-09-12,SUP-2,Café,Pilão,15.98,0.5,31.96
126,2022-09-12,SUP-4,Leite,Shefa,5.79,1.0,5.79
127,2022-09-12,SUP-2,Farinha,Renata,6.25,1.0,6.25
128,2022-09-12,SUP-2,Manteiga,Elegê,10.2,0.2,51.0
129,2022-09-12,SUP-1,Arroz,Namorado,19.99,5.0,3.998
130,2022-09-12,SUP-2,Farinha,Nita,6.25,1.0,6.25
131,2022-09-12,SUP-0,Leite,Italac,5.88,1.0,5.88
132,2022-09-12,SUP-3,Farinha,Nita,6.25,1.0,6.25
133,2022-09-12,SUP-3,Arroz,Saboroso,19.99,5.0,3.998
134,2022-09-12,SUP-4,Farinha,Renata,7.49,1.0,7.49
135,2022-09-12,SUP-3,Feijão,Broto Legal,10.29,1.0,10.29
136,2022-09-12,SUP-3,Arroz,Saboroso,4.75,2.0,2.375
137,2022-09-12,SUP-2,Café,Canecão,15.88,0.5,31.76
138,2022-09-12,SUP-1,Manteiga,Delícia,8.19,0.5,16.38
139,2022-09-12,SUP-4,Farinha,Prato Fino,6.79,1.0,6.79
140,2022-09-12,SUP-0,Açúcar,União,4.79,1.0,4.79
141,2022-09-12,SUP-2,Batata,,4.79,1.0,4.79
142,2022-09-12,SUP-2,Farinha,Rosa Branca,4.79,1.0,4.79
143,2022-09-12,SUP-2,Café,Caboclo,14.98,0.5,29.96
144,2022-09-12,SUP-0,Pão,,15.95,1.0,15.95
145,2022-09-12,SUP-0,Feijão,Camil,8.98,1.0,8.98
146,2022-09-12,SUP-4,Leite,Italac,5.79,1.0,5.79
147,2022-09-12,SUP-4,Leite,Piracanjuba,5.79,1.0,5.79
148,2022-09-12,SUP-0,Manteiga,Doriana,5.79,0.2,28.95
149,2022-09-12,SUP-2,Leite,Italac,5.29,1.0,5.29
150,2022-09-12,SUP-0,Arroz,Camil,21.69,5.0,4.338
151,2022-09-12,SUP-2,Café,Pelé,14.55,0.5,29.1
152,2022-09-12,SUP-3,Arroz,Prato Fino,24.49,5.0,4.898
153,2022-09-12,SUP-0,Café,Nescafé,14.2,0.25,56.8
154,2022-09-12,SUP-3,Manteiga,Aviação,13.99,0.5,27.98
155,2022-09-12,SUP-4,Manteiga,Aviação,37.9,0.5,75.8
156,2022-09-12,SUP-2,Leite,Parmalat,5.19,1.0,5.19
157,2022-09-12,SUP-4,Açúcar,Caravelas,3.98,1.0,3.98
158,2022-09-12,SUP-0,Manteiga,Claybom,8.38,0.5,16.76
159,2022-09-12,SUP-3,Banana Nanica,,5.99,1.0,5.99
160,2022-09-12,SUP-0,Arroz,Tio João,22.98,5.0,4.596
161,2022-09-12,SUP-2,Tomate,,3.98,1.0,3.98
162,2022-09-12,SUP-2,Leite,Leco,5.19,1.0,5.19
163,2022-09-12,SUP-1,Arroz,Prato Fino,24.99,5.0,4.998
164,2022-09-12,SUP-4,Banana Prata,,8.99,1.0,8.99
165,2022-09-12,SUP-3,Arroz,Broto Legal,24.99,5.0,4.998
166,2022-09-12,SUP-4,Feijão,Broto Legal,10.6,1.0,10.6
167,2022-09-12,SUP-4,Batata,,5.99,1.0,5.99
168,2022-09-12,SUP-0,Arroz,Prato Fino,24.25,5.0,4.85
169,2022-09-12,SUP-4,Tomate,,5.99,1.0,5.99
170,2022-09-12,SUP-3,Leite,Elegê,5.99,1.0,5.99
171,2022-09-12,SUP-3,Tomate,,5.99,1.0,5.99
172,2022-09-12,SUP-1,Batata,,5.99,1.0,5.99
173,2022-09-12,SUP-2,Açúcar,Caravelas,3.49,1.0,3.49
174,2022-09-12,SUP-2,Farinha,Dona Benta,5.7,1.0,5.7
175,2022-09-12,SUP-1,Leite,Piracanjuba,5.99,1.0,5.99
176,2022-09-12,SUP-3,Leite,Italac,5.99,1.0,5.99
177,2022-09-12,SUP-0,Café,Caboclo,16.9,0.5,33.8
178,2022-09-21,SUP-5,Manteiga,Itambé,11.15,0.2,55.75
179,2022-09-21,SUP-6,Óleo,Vitaliv,7.59,0.9,8.43333333333333
180,2022-09-21,SUP-7,Óleo,Vitaliv,8.19,0.9,9.1
181,2022-09-21,SUP-8,Café,Melita,25.59,0.5,51.18
182,2022-09-21,SUP-9,Óleo,Vitaliv,8.19,0.9,9.1
183,2022-09-21,SUP-9,Café,Melita,19.49,0.5,38.98
184,2022-09-21,SUP-10,Feijão,Kicaldo,7.55,1.0,7.55
185,2022-09-21,SUP-10,Manteiga,Frimesa,11.5,0.2,57.5
186,2022-09-21,SUP-5,Manteiga,Scala,11.35,0.2,56.75
187,2022-09-21,SUP-6,Óleo,Coamo,7.65,0.9,8.5
188,2022-09-21,SUP-5,Leite,Italac,5.19,1.0,5.19
189,2022-09-21,SUP-6,Farinha,Primor,4.15,1.0,4.15
190,2022-09-21,SUP-5,Feijão,Camil,7.59,1.0,7.59
191,2022-09-21,SUP-6,Leite,Italac,5.19,1.0,5.19
192,2022-09-21,SUP-6,Leite,Parmalat,5.19,1.0,5.19
193,2022-09-21,SUP-6,Manteiga,President,10.7,0.2,53.5
194,2022-09-21,SUP-11,Café,3 Corações,19.99,0.5,39.98
195,2022-09-21,SUP-8,Arroz,Saboroso,19.99,5.0,3.998
196,2022-09-21,SUP-11,Leite,Lider,5.19,1.0,5.19
197,2022-09-21,SUP-5,Banana Nanica,,4.99,1.0,4.99
198,2022-09-21,SUP-6,Banana Nanica,,4.99,1.0,4.99
199,2022-09-21,SUP-12,Leite,Parmalat,4.99,1.0,4.99
200,2022-09-21,SUP-5,Óleo,Aro,7.75,0.9,8.61111111111111
201,2022-09-21,SUP-6,Manteiga,Matilat,10.8,0.2,54.0
202,2022-09-21,SUP-5,Farinha,Nita,5.09,1.0,5.09
203,2022-09-21,SUP-9,Tomate,,3.99,1.0,3.99
204,2022-09-21,SUP-5,Açúcar,União,3.99,1.0,3.99
205,2022-09-21,SUP-5,Tomate,,3.99,1.0,3.99
206,2022-09-21,SUP-11,Arroz,Prato Fino,29.9,5.0,5.98
207,2022-09-21,SUP-9,Açúcar,Da Barra,3.99,1.0,3.99
208,2022-09-21,SUP-9,Açúcar,União,3.99,1.0,3.99
209,2022-09-21,SUP-12,Açúcar,União,3.99,1.0,3.99
210,2022-09-21,SUP-10,Leite,Italac,5.25,1.0,5.25
211,2022-09-21,SUP-12,Feijão,Joli,10.98,1.0,10.98
212,2022-09-21,SUP-11,Farinha,Dona Benta,6.79,1.0,6.79
213,2022-09-21,SUP-11,Arroz,Broto Legal,29.9,5.0,5.98
214,2022-09-21,SUP-12,Café,3 Corações,19.9,0.5,39.8
215,2022-09-21,SUP-13,Feijão,Joli,10.89,1.0,10.89
216,2022-09-21,SUP-12,Arroz,Camil,19.89,5.0,3.978
217,2022-09-21,SUP-5,Óleo,Liza,8.09,0.9,8.98888888888889
218,2022-09-21,SUP-8,Feijão,Broto Legal,10.59,1.0,10.59
219,2022-09-21,SUP-6,Leite,Piracanjuba,5.15,1.0,5.15
220,2022-09-21,SUP-7,Feijão,Broto Legal,10.49,1.0,10.49
221,2022-09-21,SUP-10,Arroz,Camil,19.69,5.0,3.938
222,2022-09-21,SUP-5,Café,3 Corações,19.75,0.5,39.5
223,2022-09-21,SUP-7,Carne Coxão Mole,,45.99,1.0,45.99
224,2022-09-21,SUP-12,Café,Melita,19.9,0.5,39.8
225,2022-09-21,SUP-8,Carne Coxão Mole,,45.9,1.0,45.9
226,2022-09-21,SUP-11,Óleo,Liza,10.49,0.9,11.6555555555556
227,2022-09-21,SUP-13,Manteiga,Cruzilia,10.49,0.2,52.45
228,2022-09-21,SUP-11,Carne Coxão Mole,,45.9,1.0,45.9
229,2022-09-21,SUP-13,Leite,Jussara,6.79,1.0,6.79
230,2022-09-21,SUP-6,Carne Coxão Mole,,38.5,1.0,38.5
231,2022-09-21,SUP-13,Café,Pilão,19.98,0.5,39.96
232,2022-09-21,SUP-13,Café,3 Corações,19.98,0.5,39.96
233,2022-09-21,SUP-9,Manteiga,Batavo,10.89,0.2,54.45
234,2022-09-21,SUP-11,Feijão,Grão De Campo,10.99,1.0,10.99
235,2022-09-21,SUP-6,Feijão,Kicaldo,7.6,1.0,7.6
236,2022-09-21,SUP-10,Manteiga,Qualy,12.9,0.2,64.5
237,2022-09-21,SUP-7,Açúcar,Caravelas,4.99,1.0,4.99
238,2022-09-21,SUP-13,Manteiga,President,13.99,0.2,69.95
239,2022-09-21,SUP-11,Açúcar,União,4.89,1.0,4.89
240,2022-09-21,SUP-13,Açúcar,Caravelas,4.49,1.0,4.49
241,2022-09-21,SUP-7,Açúcar,União,4.49,0.5,8.98
242,2022-09-21,SUP-7,Farinha,Globo,4.49,1.0,4.49
243,2022-09-21,SUP-7,Batata,,4.49,1.0,4.49
244,2022-09-21,SUP-11,Açúcar,Mais Doce,4.49,1.0,4.49
245,2022-09-21,SUP-5,Leite,Jussara,4.89,1.0,4.89
246,2022-09-21,SUP-13,Batata,,4.89,1.0,4.89
247,2022-09-21,SUP-12,Manteiga,Qualy,13.99,0.2,69.95
248,2022-09-21,SUP-12,Manteiga,President,13.99,0.2,69.95
249,2022-09-21,SUP-13,Leite,Shefa,5.99,1.0,5.99
250,2022-09-21,SUP-13,Leite,Italac,5.99,1.0,5.99
251,2022-09-21,SUP-11,Banana Nanica,,5.99,1.0,5.99
252,2022-09-21,SUP-12,Farinha,Dona Benta,5.99,1.0,5.99
253,2022-09-21,SUP-12,Farinha,Nita,5.99,1.0,5.99
254,2022-09-21,SUP-12,Leite,Shefa,5.99,1.0,5.99
255,2022-09-21,SUP-12,Leite,Piracanjuba,5.99,1.0,5.99
256,2022-09-21,SUP-11,Pão,,16.99,1.0,16.99
257,2022-09-21,SUP-11,Café,Caboclo,16.99,0.5,33.98
258,2022-09-21,SUP-12,Óleo,Salada,16.99,0.9,18.8777777777778
259,2022-09-21,SUP-7,Farinha,Dona Benta,5.99,1.0,5.99
260,2022-09-21,SUP-7,Farinha,Sol,5.99,1.0,5.99
261,2022-09-21,SUP-10,Óleo,Liza,7.95,0.9,8.83333333333334
262,2022-09-21,SUP-6,Óleo,Liza,7.94,0.9,8.82222222222222
263,2022-09-21,SUP-10,Café,3 Corações,16.98,0.5,33.96
264,2022-09-21,SUP-7,Farinha,Venturelli,5.99,1.0,5.99
265,2022-09-21,SUP-12,Manteiga,Tirolez,16.89,0.2,84.45
266,2022-09-21,SUP-9,Manteiga,President,14.59,0.2,72.95
267,2022-09-21,SUP-12,Pão,,14.99,1.0,14.99
268,2022-09-21,SUP-7,Manteiga,President,14.99,0.2,74.95
269,2022-09-21,SUP-11,Café,Fort,14.99,0.5,29.98
270,2022-09-21,SUP-7,Açúcar,Native,6.25,1.0,6.25
271,2022-09-21,SUP-9,Café,Caboclo,15.49,0.5,30.98
272,2022-09-21,SUP-10,Manteiga,Teixeira,15.5,0.2,77.5
273,2022-09-21,SUP-8,Tomate,,6.19,1.0,6.19
274,2022-09-21,SUP-6,Café,Canecão,15.68,0.5,31.36
275,2022-09-21,SUP-13,Farinha,Primor,4.79,1.0,4.79
276,2022-09-21,SUP-7,Café,Caboclo,15.89,0.5,31.78
277,2022-09-21,SUP-8,Açúcar,União,4.69,1.0,4.69
278,2022-09-21,SUP-12,Banana Prata,,7.99,1.0,7.99
279,2022-09-21,SUP-6,Café,Caboclo,14.98,0.5,29.96
280,2022-09-21,SUP-9,Carne Coxão Mole,,40.39,1.0,40.39
281,2022-09-21,SUP-6,Café,União,15.98,0.5,31.96
282,2022-09-21,SUP-5,Café,Caboclo,14.95,0.5,29.9
283,2022-09-21,SUP-6,Batata,,4.59,1.0,4.59
284,2022-09-21,SUP-13,Açúcar,União,4.59,1.0,4.59
285,2022-09-21,SUP-5,Farinha,Renata,6.09,1.0,6.09
286,2022-09-21,SUP-13,Café,Caboclo,14.79,0.5,29.58
287,2022-09-21,SUP-11,Manteiga,Aviação,15.99,0.2,79.95
288,2022-09-21,SUP-10,Farinha,Renata,6.29,1.0,6.29
289,2022-09-21,SUP-8,Leite,Shefa,6.29,1.0,6.29
290,2022-09-21,SUP-10,Café,3 Corações,16.25,0.5,32.5
291,2022-09-21,SUP-13,Leite,Elegê,6.29,1.0,6.29
292,2022-09-21,SUP-10,Arroz,Tio João,16.75,5.0,3.35
293,2022-09-21,SUP-6,Arroz,Biju,17.6,5.0,3.52
294,2022-09-21,SUP-7,Leite,Shefa,5.99,1.0,5.99
295,2022-09-21,SUP-7,Óleo,Concórdia,7.89,0.9,8.76666666666666
296,2022-09-21,SUP-8,Arroz,Pileco Nobre,26.89,5.0,5.378
297,2022-09-21,SUP-7,Manteiga,Qualy,11.99,0.25,47.96
298,2022-09-21,SUP-6,Arroz,Namorado,18.8,5.0,3.76
299,2022-09-21,SUP-6,Café,3 Corações,18.98,0.5,37.96
300,2022-09-21,SUP-13,Arroz,Broto Legal,29.8,5.0,5.96
301,2022-09-21,SUP-11,Manteiga,Delícia,7.99,0.5,15.98
302,2022-09-21,SUP-11,Feijão,Oliron,7.99,1.0,7.99
303,2022-09-21,SUP-8,Feijão,Oliron,7.99,1.0,7.99
304,2022-09-21,SUP-7,Feijão,Namorado,7.99,1.0,7.99
305,2022-09-21,SUP-7,Café,Canecão,18.99,0.5,37.98
306,2022-09-21,SUP-9,Café,Pilão,18.99,0.5,37.98
307,2022-09-21,SUP-13,Café,Canecão,18.99,0.5,37.98
308,2022-09-21,SUP-6,Arroz,Camil,19.1,5.0,3.82
309,2022-09-21,SUP-6,Óleo,Concórdia,7.85,0.9,8.72222222222222
310,2022-09-21,SUP-7,Feijão,Camil,7.99,1.0,7.99
311,2022-09-21,SUP-10,Feijão,Camil,7.85,1.0,7.85
312,2022-09-21,SUP-12,Batata,,7.99,1.0,7.99
313,2022-09-21,SUP-5,Arroz,Camil,19.19,5.0,3.838
314,2022-09-21,SUP-9,Manteiga,Qualy,11.79,0.2,58.95
315,2022-09-21,SUP-12,Arroz,Tio João,25.99,5.0,5.198
316,2022-09-21,SUP-8,Café,Pilão,25.99,0.5,51.98
317,2022-09-21,SUP-10,Café,Melita,19.45,0.5,38.9
318,2022-09-21,SUP-10,Óleo,Soya,7.79,0.9,8.65555555555556
319,2022-09-21,SUP-11,Açúcar,Caravelas,4.99,1.0,4.99
320,2022-09-21,SUP-8,Açúcar,Mais Doce,4.99,1.0,4.99
321,2022-09-21,SUP-13,Arroz,Joli,26.89,5.0,5.378
322,2022-09-21,SUP-12,Manteiga,Aviação,12.49,0.2,62.45
323,2022-09-21,SUP-8,Arroz,Camil,28.99,5.0,5.798
324,2022-09-21,SUP-12,Manteiga,Batavo,12.59,0.2,62.95
325,2022-09-21,SUP-7,Café,3 Corações,17.69,0.5,35.38
326,2022-09-21,SUP-5,Óleo,Soya,7.89,0.9,8.76666666666666
327,2022-09-21,SUP-13,Arroz,Pileco Nobre,28.9,5.0,5.78
328,2022-09-21,SUP-8,Leite,Italac,5.99,1.0,5.99
329,2022-09-21,SUP-10,Leite,Tirol,5.99,1.0,5.99
330,2022-09-21,SUP-7,Pão,,13.59,1.0,13.59
331,2022-09-21,SUP-12,Café,Caboclo,17.9,0.5,35.8
332,2022-09-21,SUP-13,Pão,,17.9,1.0,17.9
333,2022-09-21,SUP-13,Café,São Joaquim,17.98,0.5,35.96
334,2022-09-21,SUP-9,Pão,,12.99,1.0,12.99
335,2022-09-21,SUP-10,Batata,,4.39,1.0,4.39
336,2022-09-21,SUP-8,Pão,,12.99,1.0,12.99
337,2022-09-21,SUP-9,Leite,Italac,4.99,1.0,4.99
338,2022-09-21,SUP-11,Feijão,Broto Legal,12.99,1.0,12.99
339,2022-09-21,SUP-5,Café,Melita,17.99,0.5,35.98
340,2022-09-21,SUP-13,Arroz,Camil,26.9,5.0,5.38
341,2022-09-21,SUP-7,Arroz,Tio João,26.9,5.0,5.38
342,2022-09-21,SUP-13,Leite,Piracanjuba,6.49,1.0,6.49
343,2022-09-21,SUP-13,Farinha,Dona Benta,6.49,1.0,6.49
344,2022-09-21,SUP-6,Café,Melita,18.48,0.5,36.96
345,2022-09-21,SUP-8,Manteiga,Aviação,18.49,0.2,92.45
346,2022-09-21,SUP-9,Café,3 Corações,18.49,0.5,36.98
347,2022-09-21,SUP-6,Manteiga,Tirolez,12.9,0.2,64.5
348,2022-09-21,SUP-8,Farinha,Renata,7.89,1.0,7.89
349,2022-09-21,SUP-10,Banana Prata,,7.89,1.0,7.89
350,2022-09-21,SUP-7,Manteiga,Vigor,4.29,0.25,17.16
351,2022-09-21,SUP-5,Feijão,Solito,6.49,1.0,6.49
352,2022-09-21,SUP-6,Óleo,Soya,7.49,0.9,8.32222222222222
353,2022-09-21,SUP-6,Farinha,Adria,4.69,1.0,4.69
354,2022-09-21,SUP-7,Manteiga,Porto Alegre,9.99,0.25,39.96
355,2022-09-21,SUP-7,Café,Melita,22.99,0.5,45.98
356,2022-09-21,SUP-6,Café,Pilão,20.98,0.5,41.96
357,2022-09-21,SUP-13,Feijão,Prafino,9.89,1.0,9.89
358,2022-09-21,SUP-13,Feijão,Camil,9.89,1.0,9.89
359,2022-09-21,SUP-9,Leite,Shefa,5.49,1.0,5.49
360,2022-09-21,SUP-5,Carne Coxão Mole,,37.89,1.0,37.89
361,2022-09-21,SUP-9,Arroz,Tio João,22.99,5.0,4.598
362,2022-09-21,SUP-12,Leite,Italac,5.49,1.0,5.49
363,2022-09-21,SUP-11,Tomate,,3.89,1.0,3.89
364,2022-09-21,SUP-12,Açúcar,Mais Doce,3.89,1.0,3.89
365,2022-09-21,SUP-12,Farinha,Venturelli,5.49,1.0,5.49
366,2022-09-21,SUP-5,Feijão,Broto Legal,8.59,1.0,8.59
367,2022-09-21,SUP-9,Feijão,Vencedor,8.59,1.0,8.59
368,2022-09-21,SUP-9,Farinha,Sol,8.59,1.0,8.59
369,2022-09-21,SUP-11,Manteiga,Qualy,9.9,0.5,19.8
370,2022-09-21,SUP-6,Feijão,Broto Legal,8.6,1.0,8.6
371,2022-09-21,SUP-13,Leite,Tirol,5.49,1.0,5.49
372,2022-09-21,SUP-9,Farinha,Nita,5.59,1.0,5.59
373,2022-09-21,SUP-7,Farinha,Renata,6.99,1.0,6.99
374,2022-09-21,SUP-5,Arroz,Prato Fino,22.79,5.0,4.558
375,2022-09-21,SUP-13,Arroz,Prato Fino,32.98,5.0,6.596
376,2022-09-21,SUP-7,Arroz,Empório São João,24.9,5.0,4.98
377,2022-09-21,SUP-7,Arroz,Pileco Nobre,24.9,5.0,4.98
